name,price,description,type
Crispy Strips,18.00,Piept de pui preparat după rețeta Hot & Spicy crocant la exterior și fraged la interior.,FOOD
Hot Booster,4.50,Ideal pentru când ai poftă de ceva bun și picant,FOOD
Coca Cola,4.50,Bautura la doza,DRINK
Big Tasty,18.00,Cel mai generos burger de la McDonald's vine acum in editie limitata cu bacon.,FOOD
Chicken Grill,12.50,Piept de pui fraged preparat la grătar însoţit de legume proaspete și sos de MUȘTAR cu miere îmbinate într-o chiflă delicioasă cu seminţe de susan albe și negre.,FOOD
Sprite,4.00,Bautura la pahar,DRINK
Hot Wings,12.50,Fericirea vine în doze picante: aripioare de pui învelite în crustă crocantă.,FOOD
Gyros,19.50,Gyros de la Spartan,FOOD
Cartofi prăjiți,5.00,Cartofi preparaţi în ulei asezonați cu sare înainte de a fi serviţi.,FOOD
Souvlaki,17.00,Souvlaki de la Spartan,FODD
Mc Puisor,4.00,O felie de carne de pui într-un strat crocant de pesmet auriu însoţită de sos McPuișor castraveţi muraţi și chiflă.,FOOD
Twister Classic,13.50,Același pui KFC dar cu un twist!,FOOD
Leonidas Pita,8.50,Sandwich cu pui,FOOD
Apa plata,3.00,Apa plata la sticla,DRINK
Covri Luca,5.00,Un crenvurști învelit cu grijă într-un aluat pufos de covrig cu mac și susan,FOOD
Booster,4.50,Pentru cei care preferă gustul puiului #pebune nepicant Booster este alegerea ideală.,FOOD
Big Mac,8.50,Sandwich Big Mac,FOOD
Ladenia Pizza,26.00,Pizza cu pui vita si porc,FOOD
Nestea,6.00,Bautura la sticla,DRINK
Luca Traditional,6.00,Felii de șuncă combinate cu bucăți de mozzarella iți vor oferi un gust inconfundabil...,FOOD
Luca Haiducesc,6.00,Cu felii de ceapă proaspătă specialitate din lapte și mușchi țărănesc autentic...,FOOD
